customerID,Churn,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_PaperlessBilling,account_Charges_Monthly,account_Charges_Total,customer_gender_Male,internet_InternetService_Fiber optic,internet_InternetService_No,account_Contract_One year,account_Contract_Two year,account_PaymentMethod_Credit card (automatic),account_PaymentMethod_Electronic check,account_PaymentMethod_Mailed check
0027-KWYKW,0,0,1,1,23,1,1,0,0,0,0,1,0,1,83.75,1849.95,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0030-FNXPP,0,0,0,0,3,1,0,0,0,0,0,0,0,0,19.85,57.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0031-PVLZI,1,0,1,1,4,1,0,0,0,0,0,0,0,0,20.35,76.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0032-PGELS,1,0,1,1,1,0,0,1,0,0,0,0,0,0,30.5,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0036-IHMOT,0,0,1,1,55,1,0,0,1,1,1,1,1,1,103.7,5656.75,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0040-HALCW,0,0,1,1,54,1,0,0,0,0,0,0,0,0,20.4,1090.6,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0042-JVWOJ,0,0,0,0,26,1,0,0,0,0,0,0,0,1,19.6,471.85,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0042-RLHYP,0,0,1,1,69,1,0,0,0,0,0,0,0,0,19.7,1396.9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0048-LUMLS,0,0,1,1,37,1,0,0,0,0,0,1,1,0,91.2,3247.55,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0048-PIHNL,0,0,1,0,49,1,0,0,0,0,0,0,0,0,20.45,900.9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0052-DCKON,0,0,1,0,66,1,1,1,1,1,1,1,1,0,115.8,7942.15,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0052-YNYOT,0,0,0,0,67,1,0,0,0,0,0,0,0,0,20.55,1343.4,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0056-EPFBG,0,0,1,1,20,0,0,1,0,1,1,0,0,1,39.4,825.4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0057-QBUQH,0,0,0,1,43,1,1,0,0,0,0,0,0,1,25.1,1070.15,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0058-EVZWM,0,0,1,0,55,1,1,1,0,0,0,1,0,1,89.8,4959.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0060-FUALY,0,0,1,0,59,1,1,1,1,0,0,1,0,1,94.75,5597.65,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0064-SUDOG,0,0,1,1,12,1,0,0,0,0,0,0,0,0,20.3,224.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0064-YIJGF,0,0,1,1,27,1,1,0,0,0,0,0,0,1,75.75,1929.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0067-DKWBL,1,1,0,0,2,1,0,1,0,0,0,0,0,1,49.25,91.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0068-FIGTF,0,0,0,0,27,1,0,0,1,1,1,1,1,0,78.2,2078.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0071-NDAFP,0,0,1,1,25,1,1,0,0,0,0,0,0,0,25.5,630.6,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0074-HDKDG,0,0,1,1,25,1,0,1,1,1,0,0,0,1,61.6,1611.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0076-LVEPS,0,0,0,1,29,0,0,1,1,1,1,0,0,1,45.0,1242.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0078-XZMHT,0,0,1,0,72,1,1,0,1,1,1,1,1,1,85.15,6316.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0080-EMYVY,0,0,0,0,14,1,0,0,1,0,0,0,0,0,51.45,727.85,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0080-OROZO,0,0,0,0,35,1,0,0,0,1,1,1,1,1,99.25,3532.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0082-LDZUE,0,0,0,0,1,1,0,0,0,0,0,0,0,1,44.3,44.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0082-OQIQY,0,0,0,0,29,1,0,0,0,0,1,1,1,1,94.2,2607.6,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0083-PIVIK,0,0,0,0,64,1,1,1,1,1,1,1,0,0,81.25,5567.55,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0089-IIQKO,0,0,1,1,39,1,1,0,0,0,1,1,1,1,99.95,3767.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0093-EXYQL,0,1,0,0,40,1,0,0,0,0,0,1,1,1,91.55,3673.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0093-XWZFY,1,0,0,0,40,1,1,0,1,1,0,1,1,1,104.5,4036.85,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0094-OIFMO,1,1,0,0,11,1,0,0,1,0,0,1,1,1,95.0,1120.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0096-BXERS,0,0,1,0,6,1,1,0,0,0,0,0,0,0,50.35,314.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0096-FCPUF,0,0,0,0,30,1,1,1,0,0,0,0,1,1,64.5,1888.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0098-BOWSO,0,0,0,0,27,1,0,0,0,0,0,0,0,1,19.4,529.8,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0100-DUVFC,0,1,1,0,70,1,1,0,1,1,0,1,1,1,104.8,7308.95,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0103-CSITQ,0,0,1,0,57,1,1,0,1,1,1,1,1,1,109.4,6252.7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0104-PPXDV,0,0,1,0,58,1,0,0,0,1,0,0,0,0,50.3,2878.55,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0106-GHRQR,0,0,0,0,16,1,1,0,1,1,0,0,1,1,71.4,1212.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0106-UGRDO,0,0,1,0,69,1,1,1,1,1,1,1,1,1,116.0,8182.85,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0107-WESLM,1,0,0,0,1,1,0,0,0,0,0,0,0,1,19.85,19.85,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0107-YHINA,1,0,0,1,1,1,1,0,0,1,0,1,1,1,99.75,99.75,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0111-KLBQG,0,1,1,1,32,1,0,0,1,0,0,1,1,1,93.95,2861.45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0112-QAWRZ,0,0,1,1,16,1,1,0,0,1,0,1,0,1,90.8,1442.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0112-QWPNC,1,0,1,0,49,1,1,1,0,1,1,1,1,0,84.35,4059.35,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0114-IGABW,0,0,1,0,71,0,0,0,1,1,1,1,1,0,58.25,4145.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0114-PEGZZ,0,0,0,0,33,1,1,0,1,1,0,1,1,0,107.55,3645.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0114-RSRRW,0,0,1,0,10,1,0,0,0,0,0,0,0,1,19.95,187.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0115-TFERT,1,0,1,0,21,1,1,0,1,1,1,1,1,1,111.2,2317.1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0117-LFRMW,1,0,1,1,37,0,0,1,1,1,0,0,0,0,40.2,1448.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0118-JPNOY,0,1,0,0,26,1,0,1,0,0,0,1,0,1,85.8,2193.65,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0121-SNYRK,0,0,0,0,50,0,0,1,0,0,1,0,0,1,35.4,1748.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0122-OAHPZ,1,0,0,0,7,1,1,0,0,0,0,0,0,1,73.85,511.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0123-CRBRT,0,0,1,1,61,1,1,1,1,1,1,1,1,0,88.1,5526.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0125-LZQXK,1,0,0,0,15,1,0,0,0,1,1,1,1,1,101.35,1553.95,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0128-MKWSG,0,0,0,1,26,0,0,1,0,0,1,0,1,0,45.8,1147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0129-KPTWJ,0,0,1,0,72,1,0,0,0,1,0,1,1,1,94.65,6747.35,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0129-QMPDR,0,0,1,1,44,1,0,0,0,0,0,0,0,1,20.5,865.05,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0130-SXOUN,0,0,0,0,66,1,1,0,1,0,0,0,1,0,89.4,5976.9,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0133-BMFZO,1,0,0,0,2,1,0,1,1,0,1,0,0,1,86.25,181.65,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0134-XWXCE,0,1,0,0,44,1,0,0,0,1,1,1,1,0,74.85,3268.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0135-NMXAP,1,0,0,0,12,1,1,0,1,0,0,1,0,1,89.75,1052.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0136-IFMYD,0,1,1,0,69,1,1,0,1,1,1,1,1,1,109.95,7634.25,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0137-OCGAB,1,0,0,0,1,1,1,0,1,0,0,0,0,1,80.2,80.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0137-UDEUO,1,0,0,0,3,1,0,0,0,0,0,0,0,0,19.85,63.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0139-IVFJG,0,0,1,0,2,1,0,1,1,0,0,1,0,0,90.35,190.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0141-YEAYS,0,1,0,0,27,1,1,0,1,1,0,0,0,1,86.45,2401.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0142-GVYSN,0,0,0,0,26,1,0,0,0,0,0,0,0,1,20.3,511.25,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0147-ESWWR,0,1,1,0,39,1,1,0,0,0,1,1,1,1,101.25,3949.15,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0148-DCDOS,1,0,0,0,25,1,1,0,0,0,0,1,1,1,94.7,2362.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0151-ONTOV,1,0,0,0,1,1,0,0,0,0,0,0,0,0,70.9,70.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0156-FVPTA,1,0,1,0,22,1,0,1,0,0,1,0,0,1,54.2,1152.7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0164-APGRB,0,0,0,0,72,1,1,1,1,1,1,1,1,1,114.9,8496.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0164-XAIRP,0,0,0,0,24,1,0,0,0,0,0,0,0,1,19.55,470.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0168-XZKBB,0,0,1,0,19,1,1,0,0,0,0,1,0,1,86.85,1564.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0174-QRVVY,0,0,1,1,71,1,1,0,0,0,0,0,0,0,25.35,1847.55,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0177-PXBAT,0,1,1,0,33,1,1,1,0,1,1,1,1,1,109.9,3694.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0178-CIIKR,0,0,0,0,3,1,0,0,0,0,0,0,0,0,19.95,58.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0178-SZBHO,0,0,1,1,47,1,1,0,1,0,0,1,0,0,87.2,4017.45,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0181-RITDD,0,0,1,1,62,1,0,1,1,1,1,1,1,0,108.15,6825.65,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0186-CAERR,0,0,0,0,71,1,1,1,1,1,1,1,1,1,116.3,8309.55,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0187-QSXOE,0,1,1,0,7,1,0,0,0,0,0,1,1,1,89.0,605.45,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0187-WZNAB,0,0,1,1,27,1,0,1,0,0,0,0,0,0,74.4,1972.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0188-GWFLE,0,0,0,0,2,1,0,0,0,0,0,0,0,0,20.05,33.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0191-EQUUH,0,0,0,1,25,0,0,1,0,0,1,0,0,0,35.05,844.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0191-ZHSKZ,0,1,0,0,30,1,0,1,1,0,0,1,1,1,74.75,2111.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0193-ESZXP,1,1,1,0,58,1,0,1,1,0,1,1,1,1,105.5,6205.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0195-IESCP,1,0,1,0,10,1,1,0,0,0,0,0,1,1,85.25,855.3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0196-JTUQI,0,0,0,0,9,1,1,0,0,0,0,0,0,1,75.2,633.85,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0196-VULGZ,1,1,1,0,6,1,1,0,0,0,0,0,1,1,84.35,474.9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0197-PNKNK,0,0,1,1,69,1,1,1,0,1,0,0,0,0,84.45,5848.6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0201-MIBOL,0,1,0,0,66,1,1,1,0,0,0,1,1,1,102.4,6471.85,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0201-OAMXR,1,0,0,0,70,1,1,1,1,1,1,1,1,0,115.55,8127.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0203-HHYIJ,1,0,0,0,25,1,1,0,0,0,0,0,0,0,25.3,676.35,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0206-OYVOC,0,0,1,1,46,1,0,0,0,0,0,0,0,1,19.25,864.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0206-TBWLC,0,0,1,0,54,1,1,1,1,1,1,1,1,1,114.65,6049.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0207-MDKNV,1,0,0,0,15,1,0,1,0,1,1,1,1,0,105.1,1582.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0208-BPQEJ,0,0,1,1,12,1,0,0,0,0,0,0,0,0,19.4,198.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0212-ISBBF,0,0,0,0,22,0,0,0,1,0,0,1,1,1,50.35,1098.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0214-JHPFW,0,0,1,0,70,0,0,0,1,1,1,1,1,0,57.8,4039.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0215-BQKGS,0,0,0,0,30,1,0,1,1,1,0,0,0,1,84.3,2438.6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0218-QNVAS,0,0,1,1,71,1,1,0,1,0,0,1,1,0,100.55,7113.75,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0219-QAERP,0,0,1,0,30,1,0,0,0,0,0,0,0,0,19.8,576.65,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0219-YTZUE,1,0,1,1,4,1,1,0,1,1,0,0,0,1,84.8,371.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0220-EBGCE,1,0,0,0,2,1,0,0,0,1,0,0,1,1,85.85,167.3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0221-NAUXK,0,0,0,1,10,1,0,0,0,0,0,0,0,1,19.95,219.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0221-WMXNQ,0,1,0,0,4,1,0,1,0,0,0,0,0,0,75.35,273.4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0222-CNVPT,0,1,0,0,52,0,0,1,0,0,0,1,1,1,48.8,2555.05,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0224-HJAPT,1,0,0,0,5,1,1,0,0,0,0,0,0,0,47.15,223.15,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0224-NIJLP,0,0,1,1,8,1,0,0,0,0,0,0,0,0,20.15,165.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0224-RLWWD,0,1,0,0,2,1,0,0,0,0,0,0,0,1,44.3,89.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0225-ZORZP,0,0,0,0,3,1,0,0,1,0,0,0,1,0,84.3,235.05,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0228-MAUWC,0,0,0,0,19,1,1,0,0,1,1,0,0,0,59.55,1144.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0229-LFJAF,0,0,0,0,72,1,1,1,1,1,1,0,0,0,69.65,4908.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0230-UBYPQ,0,1,1,0,63,0,0,1,0,0,1,0,0,0,36.1,2298.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0230-WEQUW,0,0,1,0,66,0,0,1,1,1,1,1,0,1,56.6,3789.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0231-LXVAP,1,0,0,0,1,1,0,0,0,0,1,0,0,1,75.9,75.9,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0233-FTHAV,0,0,0,0,60,1,1,0,0,1,0,0,0,1,79.2,4765.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0234-TEVTT,0,0,1,1,48,0,0,1,0,1,0,0,1,0,45.0,2196.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0235-KGSLC,1,0,0,0,1,1,0,0,0,1,0,1,0,1,85.55,85.55,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0236-HFWSV,1,0,0,0,15,1,1,0,0,0,0,1,1,1,93.35,1444.65,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0237-YFUTL,0,0,1,0,50,1,1,1,1,0,1,1,1,1,109.65,5405.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0238-WHBIQ,0,0,1,1,72,1,1,1,1,1,1,1,1,0,89.7,6339.3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0239-OXEXL,0,0,0,0,46,1,1,1,1,0,0,0,0,0,84.25,3847.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0244-LGNFY,0,0,1,1,72,1,1,1,1,1,1,1,1,0,92.65,6733.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0247-SLUJI,0,0,1,1,1,1,0,0,0,0,0,0,0,0,19.7,19.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0248-IPDFW,0,0,0,0,1,1,1,0,0,0,0,0,0,1,50.1,50.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0248-PGHBZ,0,1,0,0,67,1,0,1,1,0,1,1,0,1,92.45,6140.85,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0253-ZTEOB,0,0,1,1,48,1,1,0,1,0,1,1,1,0,79.65,3870.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0254-FNMCI,0,0,0,0,72,1,0,1,1,1,1,1,1,1,109.9,7624.2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0254-KCJGT,0,0,1,0,52,1,1,1,1,1,1,0,1,1,81.4,4354.45,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0254-WWRKD,0,0,1,1,67,1,0,0,1,0,0,0,0,0,50.55,3431.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0256-LTHVJ,1,0,1,1,28,1,0,0,0,0,0,0,1,1,81.05,2227.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0257-KXZGU,0,0,1,1,32,1,1,0,1,1,0,0,0,0,62.45,2045.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0257-ZESQC,1,1,1,0,27,1,0,1,0,0,0,0,0,1,75.2,1929.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0258-NOKBL,0,0,0,0,3,1,0,0,1,1,0,0,1,0,90.4,268.45,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0259-GBZSH,1,0,0,0,2,1,1,0,0,0,0,1,0,1,85.65,181.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0260-ZDLGK,1,0,0,1,9,1,0,0,0,1,1,1,1,1,72.9,651.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0263-FJTQO,0,0,1,1,50,1,1,1,0,0,1,1,0,1,70.5,3486.65,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0264-CNITK,0,0,1,1,71,1,0,0,0,0,0,0,0,0,20.1,1389.6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0265-EDXBD,1,1,1,0,32,1,1,0,0,0,0,0,0,1,74.9,2303.35,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0265-PSUAE,0,0,1,1,16,1,0,1,0,1,0,1,1,0,100.7,1522.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0266-CLZKZ,0,0,1,1,67,1,1,0,0,1,1,1,1,1,105.65,6717.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0266-GMEAO,0,0,1,1,72,1,1,1,1,1,1,1,1,1,114.3,8058.55,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0268-QKIWO,1,0,0,0,3,1,0,0,0,0,0,0,0,0,19.75,58.85,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0269-XFESX,0,0,1,1,23,1,1,0,0,0,0,0,0,0,24.35,538.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0270-THENM,0,0,1,1,72,1,1,1,1,1,1,0,0,0,69.85,5102.35,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0274-JKUJR,0,0,1,1,7,0,0,1,1,1,0,1,1,0,58.85,465.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0277-BKSQP,0,0,1,1,8,1,0,0,0,0,0,1,0,1,54.4,475.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0277-ORXQS,0,0,1,1,66,0,0,0,0,0,1,1,1,0,50.55,3364.55,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
